channel_id,sat_mean,white,entropy,sym,var,bright,sat_std,ed,dom,skin,lines,is_bot,bot_probability
UC-us2xuIKXYQBGNMdSyPxHA,0.19620123505592346,0.0599365234375,6.253254413604736,0.7402506510416667,3899.881103515625,0.5768423043045343,0.10840454697608948,0.11614990234375,0.400146484375,0.496826171875,0.6103515625,False,0.0017274118
UC4cEWeLKNK8VODb4XM1-vuA,0.4068768620491028,0.3192138671875,6.429357051849365,0.743759095435049,8145.87255859375,0.7407846488204657,0.3136155605316162,0.14434814453125,0.47265625,0.0,0.67138671875,False,0.0017111322
UC-etm5VbVC_C-FqhCgB0djg,0.917891263961792,0.06634521484375,0.8261350393295288,0.9934393190870098,8010.30810546875,0.8328900505514706,0.25181350111961365,0.022216796875,0.921142578125,0.0,0.0,False,0.0017110679
UC0M9YoQiYlMw1NYFTLr-fFw,0.5921494364738464,0.0484619140625,0.4833724796772003,0.9951746323529411,3068.867431640625,0.7504174325980392,0.13249166309833527,0.0155029296875,0.94635009765625,0.0,0.0,False,0.001681867
UCBuq_mJDJC3k50rX9KNNyEQ,0.9488765001296997,0.0462646484375,0.410312682390213,0.9950669232536765,6342.35205078125,0.6685005935968137,0.2134084403514862,0.01544189453125,0.94635009765625,0.0,0.0,False,0.0016543524
UC0BnLST2FEtYB1f-P2K0l3A,0.6582141518592834,0.06182861328125,9.006247520446777,0.710797238817402,6943.30078125,0.5500751570159313,0.2994186580181122,0.2384033203125,0.48211669921875,0.10687255859375,31.18896484375,False,0.0016479203
UC0uROopW9Wl-qJND55Is1yA,0.3236545920372009,0.0,0.48877519369125366,0.9695130591299019,493.9412536621094,0.04091605392156863,0.2848065197467804,0.03216552734375,0.96514892578125,0.01983642578125,0.0,False,0.0016434337
UC04j5YzhO4CrZ_DkwGxRzhQ,0.8863228559494019,0.04840087890625,0.7286194562911987,0.9724202473958333,6872.56005859375,0.7626081878063725,0.20523464679718018,0.0172119140625,0.9417724609375,0.00982666015625,0.0,False,0.0016386613
UC-br-cue90CVSYAv7O_Btaw,0.8160545825958252,0.0679931640625,0.7378048300743103,0.9925431793811275,6052.24609375,0.7786836511948529,0.22518761456012726,0.022216796875,0.9215087890625,0.0,0.0,False,0.0016313593
UC56LBTeN7uMak--DC5rr40g,0.7016564011573792,0.03265380859375,0.5402801632881165,0.9809881472120098,5336.97119140625,0.9282183478860294,0.13379605114459991,0.01251220703125,0.9569091796875,0.0,0.0,False,0.0016234053
UC-zR_CC3w5eiFE5zzooSbCw,0.7809469699859619,0.0001220703125,1.43613862991333,0.9999056946997549,7327.65771484375,0.8556937423406863,0.32903629541397095,0.0185546875,0.7061767578125,0.0,0.0,False,0.0016169609
UC-LyNz8l_gA6sqMnqUErZVw,0.0523480586707592,0.91748046875,1.7704981565475464,0.9448385799632353,857.269287109375,0.9833201688878677,0.14752191305160522,0.08111572265625,0.879638671875,0.0325927734375,0.42724609375,False,0.001611194
UC0CuOcpIL9kPnpeqNv8A1eQ,0.7076168060302734,0.029296875,0.3811109662055969,0.9769842409620098,3209.853759765625,0.6650991402420343,0.12116514146327972,0.0103759765625,0.9683837890625,0.0,0.0,False,0.0015943563
UC53fLBaY5Fo16K5Qmy6nIfQ,0.7076168060302734,0.029296875,0.3811109662055969,0.9769842409620098,3209.853759765625,0.6650991402420343,0.12116514146327972,0.0103759765625,0.9683837890625,0.0,0.0,False,0.0015943563
UC-VuOBVm29ZTG3dW2nwwR2A,0.7076168060302734,0.029296875,0.3811109662055969,0.9769842409620098,3209.853759765625,0.6650991402420343,0.12116514146327972,0.0103759765625,0.9683837890625,0.0,0.0,False,0.0015943563
