channel_id,lines,bright,var,dom,sat_std,entropy,sym,sat_mean,ed,skin,white,is_bot,rank_score
UC1QyzAznke4Hygst7K4QnDA,0.42724609375,0.2683459712009804,1552.880859375,0.4439697265625,0.147259920835495,4.243445873260498,0.9391539330575981,0.433025062084198,0.05523681640625,0.0477294921875,0.0,False,0.0018801427
UC-TsjvGYXCXABWm7H8H5WDg,3.90625,0.5313337737438726,3347.00390625,0.50927734375,0.3183336853981018,6.332012176513672,0.8110069125306373,0.48367631435394287,0.12908935546875,0.46490478515625,0.00213623046875,False,0.0018780206
UC-xxHkKf7ev863eALZPHs4w,10.009765625,0.4440635531556373,7058.70166015625,0.50140380859375,0.2934373617172241,6.681408882141113,0.6879092945772058,0.37843161821365356,0.19921875,0.155029296875,0.12359619140625,False,0.0018617202
UC0Xu9OX92PG0o9NCiYN-9Bw,7.26318359375,0.5341215245863971,4605.79931640625,0.42486572265625,0.15102630853652954,7.269618988037109,0.6896651922487744,0.22846321761608124,0.1671142578125,0.17425537109375,0.19696044921875,False,0.0018416388
UC-pT-53SpRPADvaBjFUXocA,0.0,0.6713089288449755,6427.48193359375,0.93695068359375,0.22790378332138062,0.4866095185279846,0.9785400390625,0.9407001733779907,0.0186767578125,0.0,0.05194091796875,False,0.0018359587
UC-CV5eVnUWOOk4KeIPQDbGw,0.0,0.6761804917279411,6581.6953125,0.9227294921875,0.2505719065666199,0.6593035459518433,0.9926106770833333,0.926430344581604,0.021484375,0.0,0.0665283203125,False,0.0018354355
UC55uk0sAxiGgXhk3JFB_12Q,46.08154296875,0.4272539924172794,3704.954833984375,0.4053955078125,0.21906021237373352,6.956125259399414,0.748620844822304,0.23206956684589386,0.275390625,0.187744140625,0.05517578125,False,0.0017646798
UC-zR_CC3w5eiFE5zzooSbCw,0.0,0.8556937423406863,7327.65771484375,0.7061767578125,0.32903629541397095,1.43613862991333,0.9999056946997549,0.7809469699859619,0.0185546875,0.0,0.0001220703125,False,0.0017578378
UC-ZesGDeKjn_qtoaY_pX1tA,0.0,0.9013461243872549,5224.13330078125,0.8853759765625,0.048468369990587234,0.7712438106536865,0.8703555836397059,0.004400275647640228,0.04827880859375,0.0,0.88922119140625,False,0.0017517513
UC-0KegqxkXjDyFD16U05U2g,7.38525390625,0.16511086856617646,2302.50634765625,0.6158447265625,0.3762151896953583,3.821293830871582,0.8852572571997549,0.42351239919662476,0.184814453125,0.14422607421875,0.00360107421875,False,0.0017364671
UC-9Ik53Fi34SNtcviLFfcsA,7.62939453125,0.598580872778799,6337.8359375,0.357421875,0.26382046937942505,6.886541843414307,0.6922492532169118,0.25131070613861084,0.20147705078125,0.126953125,0.25311279296875,False,0.0016902294
UC-EOkVCMqe5StP7xp3WR9VQ,1.220703125,0.8526680740655638,6382.20068359375,0.48370361328125,0.3255351781845093,4.539848327636719,0.917236328125,0.32276323437690735,0.133056640625,0.237060546875,0.4825439453125,False,0.0016347031
UC-WzKulVjr5PqJODUzFpCow,13.12255859375,0.24361404718137256,3763.382080078125,0.63446044921875,0.2824532389640808,5.4344282150268555,0.9107038909313725,0.4548940658569336,0.17999267578125,0.0589599609375,0.00140380859375,False,0.0016262401
